"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Text Editing","Scroll Line Up","Esc, Z","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Edit","Undo","F9","In Windows"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Text End","Esc, Shift+>","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Window","Maximize Active View or Editor","Alt+Up","Terminal Widget in Focus"
"Run/Debug","Debug","F11","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"SVN","Commit...","Ctrl+Alt+C","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Window","Next Editor","Ctrl+Tab","In Windows"
